弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
380.20400,1,25,41194,Mon Apr 27 21:40:59 2020,0,69580669,31904332397936643,噢耶！
840.70200,1,25,15138834,Mon Apr 27 21:42:52 2020,0,69580669,31904391577993223,鹅鹅鹅
399.54000,1,25,16777215,Mon Apr 27 21:53:07 2020,0,bd403c93,31904713914974211,布丁，永远的神
353.63800,1,25,16777215,Mon Apr 27 22:20:47 2020,0,10390cd1,31905584258220037,那你就别吃了...
1102.56700,1,25,16777215,Mon Apr 27 22:59:22 2020,0,a4057b53,31906798146420739,三桥VS金井？
980.82600,1,25,16777215,Mon Apr 27 23:03:20 2020,0,e10fd652,31906922638082055,蓝拳？
879.63900,5,25,16777215,Mon Apr 27 23:07:55 2020,0,c879eb1b,31907066798407685,这树好大啊
984.21800,1,25,16777215,Mon Apr 27 23:21:22 2020,0,b43e2471,31907490000535555,一方
48.59400,1,25,16777215,Mon Apr 27 23:28:46 2020,0,d6551d6a,31907723053367303,父子局
376.68000,1,25,16777215,Mon Apr 27 23:32:16 2020,0,77208ede,31907832966152195,大尉真男人
1107.50600,1,25,16777215,Tue Apr 28 00:05:11 2020,0,956fc90c,31908868448059463,挖这个坑要很久的
1126.65200,1,25,16777215,Tue Apr 28 00:16:41 2020,0,5d085ef8,31909230376124419,这就
342.41400,1,25,16777215,Tue Apr 28 08:29:16 2020,0,ffb00f61,31924725314224133,大保剑
764.86100,1,25,16777215,Tue Apr 28 09:11:52 2020,0,bd28ebf3,31926065556357127,哈哈哈哈哈这一声好搞笑
589.90700,1,25,16777215,Tue Apr 28 09:52:57 2020,0,c4d5215c,31927358074650629,好可爱
101.80000,1,25,16777215,Tue Apr 28 10:20:37 2020,0,3ad5482f,31928228320903175,叫爸爸
66.89100,1,25,16777215,Tue Apr 28 11:26:20 2020,0,3e4ced6f,31930295446929413,这脸
327.11400,1,25,16777215,Tue Apr 28 12:32:49 2020,0,d743175e,31932387103866883,nt
583.50000,1,25,16777215,Tue Apr 28 13:10:49 2020,0,16161272,31933582387183619,岁月是把杀猪刀啊！！！
1268.22200,1,25,16777215,Tue Apr 28 13:47:05 2020,0,45ae9096,31934723134586883,泪目泪目
1125.99100,1,25,16777215,Tue Apr 28 14:01:32 2020,0,8ad149a4,31935177776168967,真就脑垫波呗
113.55300,1,25,16777215,Tue Apr 28 15:20:23 2020,0,5cdf54ae,31937658327400453,大吃一斤
1135.54000,1,25,16777215,Tue Apr 28 15:45:22 2020,0,7609b11,31938443975589893,这妹子必死
950.69300,1,25,16777215,Tue Apr 28 16:07:28 2020,0,74c965a5,31939139429466119,呲水枪有效射程短阿
720.26200,1,25,16777215,Tue Apr 28 16:35:56 2020,0,7a17b781,31940034817949703,大蛇丸
1194.71600,1,25,16777215,Tue Apr 28 16:59:43 2020,0,7d14a4a9,31940782894612487,核战还在继续
600.99300,1,25,16777215,Tue Apr 28 17:49:23 2020,0,e469eaee,31942345327378437,憨憨
457.72500,1,25,16777215,Tue Apr 28 18:59:34 2020,0,64552385,31944552807399429,买种子耕田他不香吗
431.50500,1,25,16777215,Tue Apr 28 18:58:57 2020,0,d4a59430,31944533476376581,外祖母悖论
377.93600,1,25,16777215,Tue Apr 28 19:51:40 2020,0,cc92a89,31946191841263685,如果真给了其他人也会想问你们要
1168.95200,1,25,16777215,Tue Apr 28 19:53:03 2020,0,39c52f81,31946235674886149,卖鱼强不背这个锅
253.92700,1,25,16777215,Tue Apr 28 20:34:08 2020,0,91d9f9e7,31947527690387463,本来就不是亲生的啊
1243.51300,1,25,16777215,Tue Apr 28 20:48:29 2020,0,14efe157,31947978984390661,hhh，这画的离人和桌子差不多高
597.62500,1,25,15138834,Tue Apr 28 21:20:27 2020,0,ea4299f6,31948985030148103,反差感太大了
576.32200,1,25,16777215,Tue Apr 28 21:20:36 2020,0,c3b819f5,31948989725671431,这脸有什么变化吗哈哈
726.74200,1,25,16777215,Tue Apr 28 21:23:25 2020,0,c3b819f5,31949078118006791,这军衔是。。大地球
743.21000,1,25,15138834,Tue Apr 28 21:25:01 2020,0,ea4299f6,31949128631582725,眯眯眼也不是全坏。也是有原因的。
779.88900,1,25,16707842,Tue Apr 28 21:54:29 2020,0,fb33a9ef,31950055387168771,台词二乔引导
37.59900,1,25,16777215,Tue Apr 28 22:22:51 2020,0,4f10ad0c,31950947690741767,父子局
113.98100,5,25,16777215,Tue Apr 28 22:32:55 2020,0,d803c2f1,31951264234864643,震惊老爸
1263.31900,1,25,16777215,Tue Apr 28 23:11:22 2020,0,4a2b70a8,31952473809223687,突然好喜欢梅先生
706.19600,1,18,15138834,Tue Apr 28 23:31:55 2020,0,870172c6,31953120639582211,闭着眼睛走路
1338.32200,1,25,15138834,Tue Apr 28 23:42:13 2020,0,870172c6,31953444377985027,正片开始
